Trial05
Date:,2014/06/11
Time:,10:52:45
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
85,393.110840,-12.331372,12.937223,-10.860213,-13.005089,16.311611,389.550964,566.027100,24.571579,-12.291201,564.665894,19.192968,159.651398,456.657349,33.882568,151.156906,613.763062,33.814201,253.157486,463.223633,34.622284,238.441498,622.836670,34.704281
86,393.105225,-12.323156,12.938705,-10.869110,-13.023865,16.324371,389.554535,566.031067,24.574488,-12.260875,564.672485,19.185595,159.654419,456.661102,33.876438,151.158829,613.767944,33.819984,253.158264,463.217133,34.628777,238.443741,622.829834,34.707706
87,393.106018,-12.325499,12.941394,-10.853985,-13.000941,16.318523,389.559723,566.031494,24.573858,-12.273973,564.661438,19.196182,159.661636,456.664307,33.879505,151.157486,613.765015,33.817280,253.149017,463.223785,34.634197,238.447693,622.830688,34.707668
88,393.107513,-12.326173,12.932813,-10.847562,-13.011672,16.318417,389.554260,566.033081,24.569401,-12.281247,564.660950,19.197430,159.655441,456.657654,33.879414,151.156433,613.773010,33.811234,253.140335,463.225922,34.627819,238.439865,622.833923,34.703342
89,393.105042,-12.318027,12.946706,-10.855246,-13.013848,16.318954,389.557953,566.033020,24.572214,-12.277402,564.662109,19.197206,159.695343,456.644531,33.895752,151.155090,613.772949,33.811363,253.099869,463.292328,34.580704,238.451904,622.835327,34.705624
90,393.109650,-12.330008,12.938457,-10.852098,-13.000553,16.316692,389.557159,566.030090,24.568855,-12.280423,564.658691,19.193752,159.650940,456.651794,33.881226,151.152115,613.782654,33.813046,253.096237,463.286224,34.575153,238.443573,622.835327,34.705078
91,393.099213,-12.319708,12.947122,-10.859925,-13.004403,16.311176,389.556915,566.021118,24.569622,-12.271849,564.667969,19.195326,159.663635,456.661224,33.880524,151.158936,613.772339,33.811630,253.103714,463.291229,34.583656,238.436447,622.838867,34.701790
92,393.104675,-12.332678,12.939328,-10.854600,-13.005027,16.314991,389.555817,566.031494,24.585283,-12.287027,564.664001,19.193096,159.652924,456.653290,33.876308,151.154404,613.776733,33.815189,253.159897,463.223694,34.632042,238.442413,622.839661,34.712345
93,393.098969,-12.308452,12.942995,-10.857457,-13.001828,16.314600,389.555603,566.032654,24.574747,-12.280556,564.659973,19.198475,159.659164,456.668091,33.885033,151.154816,613.769958,33.811077,253.160477,463.228607,34.634274,238.438370,622.826904,34.710968
94,393.110413,-12.327103,12.946828,-10.864606,-13.013810,16.318178,389.553802,566.028687,24.567991,-12.273756,564.661011,19.194145,159.598373,456.643738,33.826828,151.157669,613.768555,33.808765,253.153610,463.226288,34.628471,238.444290,622.833496,34.709751
