Trial09
Date:,2014/06/11
Time:,11:03:21
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
71,393.245514,-12.057237,14.521262,-10.599246,-13.087465,15.685142,389.828278,566.455750,24.316057,-12.439401,564.498901,19.215729,,,,125.512680,651.763916,32.707470,232.821320,504.782043,34.645660,212.291611,663.750549,33.626049,,,,,,,,,,,,,,,
72,393.247681,-12.060150,14.530228,-10.599037,-13.093096,15.692235,389.835449,566.474915,24.312262,-12.447824,564.517517,19.226980,,,,125.508331,651.776733,32.701843,232.819473,504.793457,34.660782,212.300949,663.751404,33.626495,,,,,,,,,,,,,,,
73,393.205872,-12.092266,14.608036,-10.591453,-13.088407,15.684927,389.829346,566.484009,24.305336,-12.445967,564.507263,19.235065,,,,125.516510,651.771179,32.705257,232.845963,504.800995,34.646393,212.297455,663.751282,33.623913,,,,,,,,,,,,,,,
74,393.131775,-12.081523,14.721141,-10.595018,-13.090586,15.686045,389.839264,566.466248,24.313034,-12.456263,564.515076,19.211508,,,,125.523232,651.772888,32.704441,232.836105,504.800537,34.646694,212.298279,663.754517,33.623241,,,,,,,,,,,,,,,
75,393.247894,-12.060843,14.539782,-10.586850,-13.086200,15.687095,389.845276,566.489197,24.317997,-12.477787,564.530518,19.185526,,,,125.521561,651.771118,32.707565,232.847351,504.802795,34.660503,212.296310,663.759094,33.623848,,,,,,,,,,,,,,,
76,393.248901,-12.066897,14.518810,-10.594441,-13.091511,15.689000,389.840332,566.482788,24.319204,-12.481811,564.570801,19.142666,,,,125.516342,651.764832,32.710972,232.832886,504.789490,34.657242,212.293457,663.755249,33.628956,,,,,,,,,,,,,,,
77,393.203430,-12.062574,14.531536,-10.586517,-13.087739,15.697036,389.827148,566.474243,24.322842,-12.531375,564.568237,19.109711,,,,125.514725,651.765381,32.712212,232.838196,504.792023,34.658176,212.294891,663.755737,33.628120,,,,,,,,,,,,,,,
78,393.203644,-12.090425,14.605955,-10.591068,-13.088803,15.686572,389.832336,566.474365,24.315973,-12.607852,564.539856,19.104824,,,,125.519341,651.767212,32.706806,232.853394,504.794617,34.660889,212.295258,663.749817,33.624149,,,,,,,,,,,,,,,
79,393.202698,-12.055151,14.541377,-10.597435,-13.090562,15.681893,389.833008,566.485046,24.312281,-12.677631,564.506836,19.095537,,,,125.521881,651.766907,32.703693,232.833221,504.790894,34.656895,212.293777,663.753845,33.623810,,,,,,,,,,,,,,,
80,393.202972,-12.106471,14.605979,-10.598967,-13.103180,15.688478,389.829712,566.461365,24.310537,-12.703404,564.484985,19.108286,,,,125.521278,651.768860,32.701820,232.823318,504.781647,34.664089,212.295410,663.746033,33.619625,,,,,,,,,,,,,,,
81,393.195801,-12.059026,14.534908,-10.600623,-13.098443,15.683331,389.823120,566.463440,24.310055,-12.668314,564.490173,19.108343,,,,125.517502,651.770203,32.700966,232.827499,504.796143,34.652840,212.296494,663.747498,33.620674,,,,,,,,,,,,,,,
82,393.248352,-12.058916,14.533472,-10.591450,-13.096142,15.678300,389.825958,566.459473,24.313290,-12.887650,564.401062,19.075684,,,,125.512184,651.772461,32.700054,232.826920,504.780212,34.649818,212.290787,663.751892,33.625347,,,,,,,,,,,,,,,
83,393.252533,-12.059268,14.530372,-10.600410,-13.090630,15.690872,389.831116,566.467957,24.310879,-13.298559,564.184937,19.100641,,,,125.507668,651.768494,32.702595,232.823181,504.797974,34.646641,212.292648,663.747131,33.626442,,,,,,,,,,,,,,,
84,393.086639,-12.086322,14.730156,-10.602766,-13.103036,15.689733,389.831665,566.468994,24.316885,-13.187316,564.057617,19.289318,,,,125.510857,651.769714,32.707485,232.832169,504.799438,34.648472,212.289200,663.755615,33.626717,,,,,,,,,,,,,,,
85,393.077728,-12.083415,14.738140,-10.601252,-13.089107,15.689306,389.832611,566.477112,24.309772,-12.382846,564.797485,18.937180,,,,125.502174,651.784668,32.727016,232.831268,504.805664,34.652737,212.287399,663.753967,33.629047,,,,,,,,,,,,,,,
86,393.129486,-12.092200,14.727839,-10.594020,-13.091067,15.687919,389.827209,566.492188,24.304667,-12.337488,564.838562,18.920914,,,,125.525894,651.748840,32.686737,232.833862,504.806427,34.649765,212.294586,663.754700,33.622505,,,,,,,,,,,,,,,
87,393.202881,-12.097019,14.610690,-10.595394,-13.095194,15.686437,389.824219,566.478088,24.305035,-12.352757,564.800354,18.924124,,,,125.395386,652.036499,32.801613,232.819687,504.802612,34.649647,212.293060,663.755615,33.621319,,,,,,,,,,,,,,,
88,393.207916,-12.059740,14.540149,-10.594126,-13.095006,15.687913,389.838501,566.482910,24.308598,-12.353736,564.809692,18.935934,,,,125.515213,651.783081,32.701149,232.835480,504.805603,34.662113,212.291473,663.752197,33.626545,,,,,,,,,,,,,,,
89,393.250031,-12.060287,14.526471,-10.600062,-13.087756,15.690838,389.827118,566.472046,24.317539,-12.341165,564.817139,18.929327,,,,125.529701,651.759338,32.702145,232.839600,504.801819,34.652554,212.295319,663.747864,33.625401,,,,,,,,,,,,,,,
90,393.211304,-12.052253,14.539169,-10.599650,-13.090283,15.686396,389.827637,566.465454,24.317694,-12.351056,564.808533,18.933670,,,,125.527916,651.763733,32.703121,232.830582,504.799835,34.654270,212.296280,663.749023,33.624317,,,,,,,,,,,,,,,
91,393.132202,-12.096808,14.725741,-10.592959,-13.094039,15.683585,389.833221,566.474243,24.312220,-12.336407,564.813416,18.926796,,,,125.519592,651.764832,32.699154,232.844437,504.797424,34.657707,212.288147,663.747559,33.623505,,,,,,,,,,,,,,,
92,393.119019,-12.087729,14.717884,-10.594130,-13.103123,15.689039,389.840302,566.487610,24.314049,-12.329647,564.825806,18.928429,,,,125.397034,652.027039,32.801624,232.842422,504.800964,34.652645,212.292953,663.749573,33.623894,,,,,,,,,,,,,,,
